Stock,Symbol,Shares Held
Lilly (eli) & co.,LLY,103700.0
Industrias bachoco s.a. de c.v. ads adr,IBA,634745.0
Mr cooper group inc,COOP,647899.0
News inc. class a,NWSA,1333500.0
Central garden & pet co. class a,CENTA,723124.0
Xpo logistics inc,XPO,404520.0
Chicos fas inc,CHS,6116300.0
Taro pharmaceutical industries ltd,TARO,678300.0
Cra international inc.,CRAI,347875.0
New gold inc. adr,NGD,16228345.0
Sprout social  inc.,SPT,363400.0
Ross stores inc. (de),ROST,321128.0
Unitil corp,UTL,579751.0
Macerich company (the),MAC,1842987.0
Regency centers corp,REG,403969.0
Arcbest corp,ARCB,357739.0
Weis markets inc,WMK,400736.0
City office reit inc,CIO,1618516.0
Takeda pharmaceutical co ltd,TAK,1993200.0
Tc energy corp,TRP,505710.0
Ituran location and control ltd,ITRN,1234700.0
Independent bank corp. (ma),INDB,347381.0
On semiconductor corp,ON,451096.0
Camtek ltd,CAMT,920840.0
Seaboard corp. (hathaway bakeries),SEB,6667.0
Patterson-uti energy inc,PTEN,1811121.0
Xpeng inc.,XPEV,1014700.0
Sjw group (san jose water co.),SJW,402000.0
Sitime corp,SITM,112800.0
Sap se adr,SAP,251500.0
Ufp technologies inc.,UFPT,420673.0
Iridium communications inc,IRDM,688699.0
Fubotv inc,FUBO,4225800.0
Transalta corp. adr,TAC,2670341.0
Hess corp,HES,258263.0
Bwx technologies inc,BWXT,513200.0
Nice ltd adr,NICE,126144.0
Evercore inc. class a,EVR,247800.0
Cgi inc,GIB,345700.0
Revolve group inc,RVLV,513600.0
Cf industries holdings inc,CF,267550.0
Quanex building products,NX,1310407.0
Stewart information services corp.,STC,453597.0
Granite real estate investment trusts,GRP.U,356100.0
Mdu resources group,MDU,1030450.0
Tenable holdings inc,TENB,473200.0
Brown & brown inc.,BRO,377700.0
Atlantica sustainable infrastr plc,AY,773255.0
Armada hoffler properties inc,AHH,1856809.0
Foot locker inc. (f. w. woolworth),FL,913900.0
Hca healthcare inc,HCA,108000.0
Knight transportation inc.,KNX,535327.0
Kimberly-clark corp.,KMB,217900.0
Archer-daniels-midland co.,ADM,297000.0
Nutanix inc,NTNX,997800.0
Universal display corp,OLED,160239.0
Manhattan associates  inc.,MANH,192560.0
Wix.com ltd,WIX,255500.0
Suncoke energy inc,SXC,2992768.0
Alexanders  inc.,ALX,103714.0
Pennymac financial services inc,PFSI,498800.0
Wsfs financial corp.,WSFS,568784.0
Landstar system inc,LSTR,175140.0
Western union co (the),WU,1407900.0
Bausch health companies,BHC,1153789.0
Blue owl cap class a,OWL,2078800.0
Box inc,BOX,906200.0
Douglas elliman inc,DOUG,3601923.0
Bce inc. (bell telephone of canada),BCE,473398.0
Sterling construction company  inc.,STRL,979272.0
Rocket companies  inc.,RKT,2357100.0
Organon & co,OGN,749185.0
Life storage inc,LSI,185400.0
Sociedad quimica y minera de chile s.a. class a adr,SQM,303900.0
Ballard power systems  inc.,BLDP,2232513.0
Magnite inc. (rubicon project inc.),MGNI,1964654.0
Gerdau sa adr,GGB,4028700.0
Collegium pharmaceutical inc,COLL,1270118.0
Live nation entertainment inc,LYV,219585.0
Roper technologies inc,ROP,54600.0
Plains gp holdings lp,PAGP,2229722.0
Ugi corp. (united gas improvement),UGI,710583.0
Verisk analytics inc,VRSK,119800.0
Atkore inc,ATKR,260000.0
Berkshire hathaway inc class b,BRK.B,72500.0
Model n  inc.,MODN,949398.0
